Nome,PaperRollSize,N_Tagli,numero Colonne,Errore Assoluto RoundUp,Errore Relativo RoundUp,Errore Assoluto branch,Errore Relativo branch,Tempo generazione Colonne,Tempo Soluzione migliorata,Tempo Terminazione Algoritmo,soluzione rilassamento,soluzione Ottima,soluzioneTrovata,soluzione ottimo dal RoundUp
Falkenauer_u120_11.txt,150,60,151,12.0,0.0,0.24489795918367346,0.0,1357,33909,366497,48.39285714285714,49.0,49.0,61,
Falkenauer_u1000_00.txt,150,81,236,27.0,27.0,0.06766917293233082,0.06766917293233082,4087,390319,390319,398.4266666666667,399.0,426,426,
Falkenauer_u1000_14.txt,150,81,231,25.0,25.0,0.06329113924050633,0.06329113924050633,4598,364149,364149,393.88666666666666,395.0,420,420,
Falkenauer_u120_05.txt,150,61,199,14.0,0.0,0.2857142857142857,0.0,2029,270750,390756,47.48639455782313,49.0,49.0,63,
Falkenauer_u1000_15.txt,150,81,198,29.0,29.0,0.07196029776674938,0.07196029776674938,3120,351031,351031,401.8066666666668,403.0,432,432,
Falkenauer_u120_04.txt,150,62,186,23.0,0.0,0.46,0.0,2275,8610,359737,49.08503401360546,50.0,50.0,73,
Falkenauer_u120_10.txt,150,64,180,17.0,0.0,0.3269230769230769,0.0,1814,3882,382912,51.28031634446397,52.0,52.0,69,
Falkenauer_u1000_01.txt,150,81,207,15.0,15.0,0.03694581280788178,0.03694581280788178,3118,465052,465052,405.2533333333335,406.0,421,421,
Falkenauer_u250_03.txt,150,79,211,31.0,31.0,0.31,0.31,2935,365821,365821,99.42666666666668,100.0,131,131,
Falkenauer_u250_17.txt,150,76,196,22.0,22.0,0.22,0.22,2783,410815,410815,99.16666666666667,100.0,122,122,
Falkenauer_u500_18.txt,150,81,208,22.0,22.0,0.10891089108910891,0.10891089108910891,4282,489858,489858,201.29333333333332,202.0,224,224,
Falkenauer_u500_19.txt,150,81,219,26.0,26.0,0.1326530612244898,0.1326530612244898,3274,992115,992115,195.63333333333333,196.0,222,222,
Falkenauer_u500_09.txt,150,81,217,23.0,23.0,0.11386138613861387,0.11386138613861387,3284,346217,346217,201.06,202.0,225,225,
Falkenauer_u500_08.txt,150,81,184,25.0,25.0,0.12690355329949238,0.12690355329949238,2678,308434,308434,195.67999999999998,197.0,222,222,
